frame,X,Y,Xs,Ys,inliers,ref_idx,mode
139,0.29580583593533466,0.968390522478314,0.29580583593533466,0.968390522478314,19,1,ref
140,0.2809670864874931,0.9747053804770907,0.2809670864874931,0.9747053804770907,23,0,ref
141,0.28577807102922326,0.9622429138400799,0.28577807102922326,0.9622429138400799,22,1,ref
142,0.28205793765590353,0.9676596210520461,0.28205793765590353,0.9676596210520461,24,0,ref
143,0.2847456160247194,0.9587550044483986,0.2847456160247194,0.9587550044483986,22,1,ref
144,0.276863927058793,0.9666022575622775,0.276863927058793,0.9666022575622775,17,0,ref
145,0.27762047203047047,0.9688722875194615,0.27762047203047047,0.9688722875194615,22,0,ref
146,0.28578517600860937,0.9660003770712855,0.28578517600860937,0.9660003770712855,17,0,ref
147,0.28159070067818043,0.9736076164924377,0.28159070067818043,0.9736076164924377,22,0,ref
148,0.28403741874610244,0.9758122671541369,0.28403741874610244,0.9758122671541369,19,0,ref
149,0.2849738550291886,0.9722591956739322,0.2849738550291886,0.9722591956739322,20,0,ref
150,0.2861780137021896,0.9797693435831849,0.2861780137021896,0.9797693435831849,20,0,ref
151,0.2975920954194672,0.9690167301490211,0.2975920954194672,0.9690167301490211,21,1,ref
152,0.2932777827700596,0.984850466039257,0.2932777827700596,0.984850466039257,19,0,ref
153,0.30125877228121534,0.9873333588189501,0.30125877228121534,0.9873333588189501,16,0,ref
154,0.3028308335534749,0.9920185129837633,0.3028308335534749,0.9920185129837633,13,0,ref
155,0.3010140903244526,0.99121593326012,0.3010140903244526,0.99121593326012,14,0,ref
156,0.30537708899927246,0.9928365144016902,0.30537708899927246,0.9928365144016902,15,0,ref
157,0.30836388700024253,0.9856119936471306,0.30836388700024253,0.9856119936471306,12,1,ref
158,0.3084337187976372,0.9856339315502667,0.3084337187976372,0.9856339315502667,291,-1,affine
159,0.3071239665976649,0.988697418538701,0.3071239665976649,0.988697418538701,16,1,ref
160,0.308641793193944,0.9913062913562054,0.308641793193944,0.9913062913562054,15,1,ref
161,0.3029207284593265,0.9984988826873886,0.3029207284593265,0.9984988826873886,13,0,ref
162,0.30575064174880473,1.004431022019573,0.30575064174880473,1.004431022019573,12,0,ref
163,0.3095132358322651,1.00834313660754,0.3095132358322651,1.00834313660754,14,0,ref
164,0.30896036693632206,1.0126312364462855,0.30896036693632206,1.0126312364462855,15,0,ref
165,0.3105954256924716,1.019053829098087,0.3105954256924716,1.019053829098087,12,0,ref
166,0.30867190477324696,1.0179319551406805,0.30867190477324696,1.0179319551406805,12,0,ref
167,0.32424439559226026,1.029117896463523,0.32424439559226026,1.029117896463523,13,1,ref
168,0.3151621342762611,1.0292330161532472,0.3151621342762611,1.0292330161532472,12,0,ref
169,0.31681265482088417,1.0286348281806048,0.31681265482088417,1.0286348281806048,14,1,ref
170,0.31641193398350886,1.0283420331961741,0.31641193398350886,1.0283420331961741,245,-1,affine
171,0.31581951403564995,1.0280322960687276,0.31581951403564995,1.0280322960687276,236,-1,affine
172,0.3152473940288941,1.0272431831767124,0.3152473940288941,1.0272431831767124,239,-1,affine
173,0.31499171627070055,1.0262948575817392,0.31499171627070055,1.0262948575817392,278,-1,affine
174,0.3149290232859271,1.0253089551823842,0.3149290232859271,1.0253089551823842,287,-1,affine
175,0.3169931889637611,1.041390958629893,0.3169931889637611,1.041390958629893,14,0,ref
176,0.3062827370383523,1.0380542252835852,0.3062827370383523,1.0380542252835852,13,0,ref
177,0.30606217817826703,1.0377301524966636,0.30606217817826703,1.0377301524966636,301,-1,affine
178,0.3057540927387923,1.0373261475478202,0.3057540927387923,1.0373261475478202,316,-1,affine
179,0.3053330719603139,1.03693126529137,0.3053330719603139,1.03693126529137,326,-1,affine
180,0.3048789284446023,1.0367071077068504,0.3048789284446023,1.0367071077068504,339,-1,affine
181,0.3045877596227134,1.0367323037144127,0.3045877596227134,1.0367323037144127,242,-1,affine
182,0.30456559885367585,1.0366291304075843,0.30456559885367585,1.0366291304075843,400,-1,affine
183,0.30463972747193735,1.03657504587411,0.30463972747193735,1.03657504587411,366,-1,affine
184,0.3072337892790327,1.0439255466664812,0.3072337892790327,1.0439255466664812,13,2,ref
185,0.30807383467511434,1.0445871590719527,0.30807383467511434,1.0445871590719527,355,-1,affine
186,0.309564019518258,1.0454866131005336,0.309564019518258,1.0454866131005336,386,-1,affine
187,0.3108533702774217,1.0458115547153024,0.3108533702774217,1.0458115547153024,374,-1,affine
188,0.31187408514932097,1.0461875399660807,0.31187408514932097,1.0461875399660807,325,-1,affine
189,0.31319175432632346,1.0465600499054715,0.31319175432632346,1.0465600499054715,335,-1,affine
190,0.31408231274251663,1.0472103675489322,0.31408231274251663,1.0472103675489322,336,-1,affine
191,0.31488612274372924,1.0479847103675488,0.31488612274372924,1.0479847103675488,338,-1,affine
192,0.3162498051205654,1.0487755609152578,0.3162498051205654,1.0487755609152578,352,-1,affine
193,0.3170555097829476,1.049865505449288,0.3170555097829476,1.049865505449288,349,-1,affine
194,0.31806942417457734,1.0511909023298487,0.31806942417457734,1.0511909023298487,367,-1,affine
195,0.3187389162321577,1.0524431004643013,0.3187389162321577,1.0524431004643013,410,-1,affine
196,0.3195892469317316,1.0538217130504892,0.3195892469317316,1.0538217130504892,367,-1,affine
197,0.32096236878118073,1.055277434108096,0.32096236878118073,1.055277434108096,336,-1,affine
198,0.3219520585764274,1.0570802518905693,0.3219520585764274,1.0570802518905693,370,-1,affine
199,0.322973822278617,1.0582544727257561,0.322973822278617,1.0582544727257561,377,-1,affine
200,0.4274289285528686,1.0128091289479535,0.4274289285528686,1.0128091289479535,15,2,ref
201,0.4337598711846937,1.0359918451818282,0.4337598711846937,1.0359918451818282,16,2,ref
202,0.4408580839237458,1.0255745992965968,0.4408580839237458,1.0255745992965968,18,2,ref
203,0.4456515766828922,1.0166295821980649,0.4456515766828922,1.0166295821980649,17,2,ref
204,0.44496628450448655,1.0077312645963077,0.44496628450448655,1.0077312645963077,17,2,ref
205,0.4583229352523905,1.0220184869189277,0.4583229352523905,1.0220184869189277,12,2,ref
206,0.4590299145345413,1.0214335485709518,0.4590299145345413,1.0214335485709518,367,-1,affine
207,0.4859615418969131,1.0440159047625666,0.4859615418969131,1.0440159047625666,12,2,ref
208,0.4886006357400221,1.0281009334686386,0.4886006357400221,1.0281009334686386,12,2,ref
209,0.4890220625173226,1.0277746886120995,0.4890220625173226,1.0277746886120995,346,-1,affine
210,0.5009436089289426,1.0117604537366547,0.5009436089289426,1.0117604537366547,12,2,ref
211,0.5045595021046979,1.010046908015458,0.5045595021046979,1.010046908015458,13,2,ref
212,0.5050862855763234,1.0098186234986652,0.5050862855763234,1.0098186234986652,404,-1,affine
213,0.5055680031787001,1.0098386065391458,0.5055680031787001,1.0098386065391458,381,-1,affine
214,0.5422896493036308,1.0226073349922151,0.5422896493036308,1.0226073349922151,13,2,ref
215,0.55497298483838,1.029576637566726,0.55497298483838,1.029576637566726,14,2,ref
216,0.5601589431255196,1.0239939842359873,0.5601589431255196,1.0239939842359873,15,2,ref
217,0.5706678843022449,1.034543291953959,0.5706678843022449,1.034543291953959,16,2,ref
218,0.5755449451522657,1.0259408102340968,0.5755449451522657,1.0259408102340968,17,2,ref
219,0.5811554428743417,1.0253391469500666,0.5811554428743417,1.0253391469500666,23,2,ref
220,0.5864232775905972,1.0237042301490211,0.5864232775905972,1.0237042301490211,19,2,ref
221,0.5896921771064301,1.0175012337355425,0.5896921771064301,1.0175012337355425,16,2,ref
222,0.5912654225419207,1.0116970293038254,0.5912654225419207,1.0116970293038254,19,2,ref
223,0.5886007846062569,1.0066977938723307,0.5886007846062569,1.0066977938723307,19,2,ref
224,0.5925779490671771,0.9482232904943282,0.5925779490671771,0.9482232904943282,20,2,ref
225,0.5916369791305778,1.0000017376556938,0.5916369791305778,1.0000017376556938,26,2,ref
226,0.5911807717875207,0.9969395539090302,0.5911807717875207,0.9969395539090302,18,2,ref
227,0.5941482848444428,0.994014210548265,0.5941482848444428,0.994014210548265,17,2,ref
228,0.5989197183342572,1.001787613295151,0.5989197183342572,1.001787613295151,17,2,ref
229,0.6068633559537832,1.005297243383007,0.6068633559537832,1.005297243383007,23,2,ref
230,0.6135927864294622,1.010382492771352,0.6135927864294622,1.010382492771352,23,2,ref
231,0.6181555365247366,1.0081691538311832,0.6181555365247366,1.0081691538311832,16,2,ref
232,0.6282209916548295,1.0154086618661031,0.6282209916548295,1.0154086618661031,19,2,ref
233,0.6345103194073932,1.0165042537811386,0.6345103194073932,1.0165042537811386,18,2,ref
234,0.6488961433359894,1.0273756794233762,0.6488961433359894,1.0273756794233762,15,2,ref
235,0.6479281068112527,1.0168635140958628,0.6479281068112527,1.0168635140958628,16,2,ref
236,0.6535195225886917,1.0154705658502001,0.6535195225886917,1.0154705658502001,19,2,ref
237,0.6543997280349223,1.0150533112766902,0.6543997280349223,1.0150533112766902,428,-1,affine
238,0.6578691233023836,1.0100988204793149,0.6578691233023836,1.0100988204793149,18,2,ref
239,0.6577954345161793,1.007370701039813,0.6577954345161793,1.007370701039813,15,2,ref
240,0.6605475651979974,0.9936156357734651,0.6605475651979974,0.9936156357734651,17,2,ref
241,0.6581889150412278,0.9922852431327847,0.6581889150412278,0.9922852431327847,18,2,ref
242,0.6607785108612804,0.9962262462466636,0.6607785108612804,0.9962262462466636,21,2,ref
243,0.672472156600783,1.0000582114657472,0.672472156600783,1.0000582114657472,20,2,ref
244,0.6801083854455376,1.0016533793927935,0.6801083854455376,1.0016533793927935,17,2,ref
245,0.6916115500710227,1.0101928710937498,0.6916115500710227,1.0101928710937498,13,2,ref
246,0.6937081279881513,1.0215921096530247,0.6937081279881513,1.0215921096530247,15,2,ref
247,0.7097913653253186,1.01981774598254,0.7097913653253186,1.01981774598254,17,2,ref
248,0.7150267201358093,1.0223755751640344,0.7150267201358093,1.0223755751640344,20,2,ref
249,0.7184226296164772,1.0231874947870327,0.7184226296164772,1.0231874947870327,16,2,ref
250,0.7214681621137056,1.0262555431216636,0.7214681621137056,1.0262555431216636,22,2,ref
251,0.7331015846946022,1.0303116659252667,0.7331015846946022,1.0303116659252667,21,2,ref
252,0.7360205808922878,1.0237337702958182,0.7360205808922878,1.0237337702958182,26,2,ref
253,0.7313393468074417,1.0221594542370995,0.7313393468074417,1.0221594542370995,18,2,ref
254,0.7386273639958079,1.019542110348087,0.7386273639958079,1.019542110348087,20,2,ref
255,0.7406114802392253,1.0118447300378113,0.7406114802392253,1.0118447300378113,23,2,ref
256,0.7394701498839383,1.0025578291814945,0.7394701498839383,1.0025578291814945,24,2,ref
257,0.7365057494846521,0.9917943553992437,0.7365057494846521,0.9917943553992437,27,2,ref
258,0.7345191972483023,0.9856078667148576,0.7345191972483023,0.9856078667148576,26,2,ref
259,0.7365050051534783,0.9877838460576067,0.7365050051534783,0.9877838460576067,22,2,ref
260,0.7408908750952743,0.9908232230732872,0.7408908750952743,0.9908232230732872,23,2,ref
261,0.7445827577172255,0.9898738114435053,0.7445827577172255,0.9898738114435053,32,2,ref
262,0.7479480819532981,0.9918369279637453,0.7479480819532981,0.9918369279637453,29,2,ref
263,0.7536871459690271,0.9908273500055604,0.7536871459690271,0.9908273500055604,24,2,ref
264,0.7606651830567488,0.990230899688612,0.7606651830567488,0.990230899688612,27,2,ref
265,0.7656265563288178,0.9843763032417703,0.7656265563288178,0.9843763032417703,30,2,ref
266,0.7714043932320537,0.9858628676879446,0.7714043932320537,0.9858628676879446,30,2,ref
267,0.7771726891629711,0.9886741773937944,0.7771726891629711,0.9886741773937944,30,2,ref
268,0.7841834768223391,0.9917441805910807,0.7841834768223391,0.9917441805910807,26,2,ref
269,0.7923922316726717,0.9944375469167035,0.7923922316726717,0.9944375469167035,27,2,ref
270,0.8004936675010392,0.9995182349588523,0.8004936675010392,0.9995182349588523,33,2,ref
271,0.8003857394808411,0.9937826679270461,0.8003857394808411,0.9937826679270461,34,2,ref
272,0.8045271304652853,0.9922541825372553,0.8045271304652853,0.9922541825372553,26,2,ref
273,0.8039219892210019,0.9891926504114767,0.8039219892210019,0.9891926504114767,22,2,ref
