frame,id,x,y
1003,2,0.9544,3.7240
1003,3,1.7544,5.5825
1004,2,0.9556,3.7221
1004,3,1.7597,5.5942
1005,2,0.9585,3.7308
1005,3,1.7623,5.5982
1005,2,1.0508,3.9299
1006,2,1.0412,3.9056
1006,3,1.7642,5.5978
1006,2,1.1215,4.0913
1007,2,1.1129,4.0496
1007,3,1.7655,5.5952
1008,2,1.1125,4.0183
1008,3,1.7666,5.5927
1009,2,1.0885,3.9675
1009,3,1.7689,5.5958
1010,3,1.7709,5.5958
1010,2,0.9812,3.8407
1011,3,1.7920,5.6288
1011,2,0.9070,3.7443
1012,3,1.7939,5.6301
1012,2,0.8407,3.6575
1013,3,1.7913,5.6231
1013,2,0.7827,3.5788
1014,3,1.7875,5.6141
1014,2,0.7338,3.5098
1014,2,0.7146,3.4746
1015,3,1.8037,5.6487
1015,2,0.6912,3.4351
1016,3,1.8024,5.6405
1016,2,0.6689,3.3991
1017,3,1.7961,5.6194
1017,4,1.2211,6.1983
1017,2,0.6493,3.3673
1018,3,1.8259,5.6699
1018,4,1.2204,6.1899
1018,2,0.6332,3.3413
1019,3,1.9210,5.8397
1019,2,0.6231,3.3302
1020,3,1.9890,5.9628
1020,2,0.6159,3.3294
1020,3,1.9452,5.8751
1020,4,1.2232,6.1828
1021,3,2.0007,5.9741
1021,2,0.6090,3.3300
1021,3,1.9454,5.8672
1021,4,1.2261,6.1727
1022,3,1.9939,5.9508
1022,2,0.6044,3.3283
1022,4,1.2297,6.1749
1023,3,2.0282,6.0039
1023,2,0.5991,3.3239
1023,4,1.2335,6.1811
1023,2,0.5640,3.2715
1024,3,2.0572,6.0515
1024,2,0.5670,3.2797
1024,4,1.2372,6.1889
1024,2,0.5376,3.2375
1024,3,1.9821,5.9149
1025,3,2.0117,5.9585
1025,2,0.5450,3.2488
1025,4,1.2377,6.1759
1025,2,0.5191,3.2099
1025,3,1.9423,5.8338
1026,3,1.9740,5.8789
1026,2,0.5321,3.2257
1026,4,1.2377,6.1698
1026,2,0.5089,3.1912
1026,3,1.9098,5.7655
1027,3,1.9267,5.7803
1027,2,0.5279,3.2161
1027,2,0.5067,3.1888
1027,3,1.8722,5.6872
1028,3,1.9147,5.7578
1028,2,0.5374,3.2213
1028,2,0.5146,3.1935
1028,3,1.8620,5.6692
1029,3,1.9052,5.7327
1029,2,0.5491,3.2278
1029,3,1.8570,5.6528
1030,3,1.8959,5.7067
1030,2,0.5859,3.2596
1030,3,1.8544,5.6381
1031,3,1.8881,5.6810
1031,2,0.6206,3.2800
1031,3,1.8443,5.6099
1032,2,0.6528,3.3000
1032,3,1.8214,5.5603
1032,2,0.6073,3.2485
1033,2,0.6438,3.2742
1033,3,1.7950,5.5038
1034,3,1.7833,5.4635
1034,4,1.1946,5.8821
1035,3,1.7793,5.4320
1035,2,0.6432,3.2723
1036,3,1.7744,5.3999
1037,3,1.7748,5.3791
1037,2,0.6329,3.2633
1038,3,1.7768,5.3628
1039,3,1.7773,5.3472
1039,2,0.6230,3.2690
