frame,id,Xs,Ys
157,1,0.8133,2.2984
157,2,0.1533,1.7647
158,1,0.8139,2.3023
158,2,0.1550,1.7667
159,1,0.8147,2.3062
159,2,0.1569,1.7679
160,1,0.8156,2.3092
160,2,0.1587,1.7697
161,1,0.8168,2.3126
161,2,0.1613,1.7677
162,1,0.8179,2.3150
162,2,0.1639,1.7650
163,1,0.8188,2.3170
163,2,0.1663,1.7625
164,1,0.8196,2.3196
164,2,0.1687,1.7599
165,1,0.8202,2.3220
165,2,0.1709,1.7577
166,1,0.8206,2.3246
166,2,0.1729,1.7563
167,1,0.8209,2.3289
167,2,0.1748,1.7554
168,1,0.8211,2.3340
168,2,0.1765,1.7550
169,1,0.8213,2.3395
169,2,0.1782,1.7549
170,1,0.8217,2.3448
170,2,0.1798,1.7557
171,1,0.8221,2.3499
171,2,0.1815,1.7568
172,1,0.8223,2.3532
172,2,0.1833,1.7583
173,1,0.8222,2.3552
173,2,0.1852,1.7603
174,1,0.8218,2.3565
174,2,0.1871,1.7639
175,1,0.8213,2.3577
175,2,0.1886,1.7710
176,1,0.8203,2.3588
176,2,0.1898,1.7804
177,1,0.8195,2.3593
177,2,0.1912,1.7908
178,1,0.8193,2.3601
178,2,0.1940,1.7977
179,1,0.8196,2.3605
179,2,0.1976,1.8019
180,1,0.8202,2.3608
180,2,0.2018,1.8048
181,1,0.8211,2.3601
181,2,0.2061,1.8099
182,1,0.8231,2.3540
182,2,0.2105,1.8143
183,1,0.8259,2.3501
183,2,0.2150,1.8185
184,1,0.8294,2.3443
184,2,0.2194,1.8232
185,1,0.8330,2.3388
185,2,0.2237,1.8294
186,1,0.8360,2.3318
186,2,0.2275,1.8399
187,1,0.8384,2.3226
187,2,0.2310,1.8527
188,1,0.8402,2.3109
188,2,0.2349,1.8642
189,1,0.8415,2.2992
189,2,0.2396,1.8755
190,1,0.8427,2.2920
190,2,0.2451,1.8861
191,1,0.8438,2.2868
191,2,0.2515,1.8930
192,1,0.8447,2.2804
192,2,0.2584,1.8975
193,1,0.8456,2.2709
193,2,0.2654,1.9008
194,1,0.8466,2.2609
194,2,0.2724,1.9025
195,1,0.8478,2.2520
195,2,0.2793,1.9033
196,1,0.8493,2.2439
196,2,0.2866,1.9065
197,1,0.8512,2.2368
197,2,0.2944,1.9085
198,1,0.8539,2.2307
198,2,0.3024,1.9082
199,1,0.8567,2.2254
199,2,0.3101,1.9093
200,1,0.8597,2.2207
200,2,0.3176,1.9094
201,1,0.8623,2.2157
201,2,0.3247,1.9087
202,1,0.8645,2.2109
202,2,0.3318,1.9066
203,1,0.8666,2.2070
203,2,0.3387,1.9040
204,1,0.8684,2.2037
204,2,0.3449,1.9017
205,1,0.8705,2.2035
205,2,0.3502,1.9030
206,1,0.8729,2.2043
206,2,0.3548,1.9050
207,1,0.8755,2.2036
207,2,0.3587,1.9099
208,1,0.8780,2.2028
208,2,0.3621,1.9112
209,1,0.8800,2.2008
209,2,0.3649,1.9128
210,1,0.8816,2.1982
210,2,0.3676,1.9093
211,1,0.8828,2.1950
211,2,0.3699,1.9060
212,1,0.8841,2.1927
212,2,0.3722,1.9038
213,1,0.8851,2.1900
213,2,0.3741,1.9058
214,1,0.8858,2.1871
214,2,0.3756,1.9088
215,1,0.8860,2.1822
215,2,0.3771,1.9102
216,1,0.8858,2.1758
216,2,0.3784,1.9107
217,1,0.8851,2.1685
217,2,0.3797,1.9089
218,1,0.8838,2.1609
218,2,0.3808,1.9070
219,1,0.8822,2.1542
219,2,0.3819,1.9040
220,1,0.8803,2.1482
220,2,0.3828,1.9011
221,1,0.8783,2.1430
221,2,0.3836,1.8985
222,1,0.8762,2.1385
222,2,0.3841,1.8968
223,1,0.8740,2.1347
223,2,0.3844,1.8972
224,1,0.8719,2.1320
224,2,0.3844,1.8982
225,1,0.8699,2.1299
225,2,0.3843,1.8982
226,1,0.8678,2.1281
226,2,0.3839,1.8991
227,1,0.8658,2.1266
227,2,0.3833,1.9012
228,1,0.8637,2.1256
228,2,0.3828,1.9019
229,1,0.8615,2.1247
229,2,0.3823,1.9010
230,1,0.8591,2.1240
230,2,0.3818,1.9009
231,1,0.8567,2.1232
231,2,0.3812,1.9000
232,1,0.8543,2.1223
232,2,0.3805,1.9005
233,1,0.8521,2.1212
233,2,0.3797,1.9005
234,1,0.8500,2.1205
234,2,0.3790,1.9005
